Designator,Mid X,Mid Y,Rotation,Layer
D1,116.71625,-78.09,90.0,bottom
D10,162.84125,-68.565,0.0,top
D11,143.79125,-68.565,0.0,top
D12,124.74125,-68.565,0.0,top
D13,124.74125,-87.615,180.0,top
D14,143.79125,-87.615,180.0,top
D15,162.84125,-87.615,180.0,top
D16,162.84125,-106.665,0.0,top
D17,143.79125,-106.665,0.0,top
D18,124.74125,-106.665,0.0,top
D19,124.74125,-125.715,180.0,top
D2,134.24125,-87.59,180.0,bottom
D20,143.79125,-125.715,180.0,top
D21,162.84125,-125.715,180.0,top
D3,154.74125,-79.09,90.0,bottom
D4,116.74125,-97.265,90.0,bottom
D5,134.26625,-97.14,90.0,bottom
D6,153.31625,-97.14,90.0,bottom
D7,116.74125,-116.19,90.0,bottom
D8,134.26625,-116.19,90.0,bottom
D9,153.24125,-116.09,90.0,bottom
OL1,147.34125,-131.39,0.0,top
SW1,124.74125,-76.0,0.0,top
SW10,125.74125,-131.09,0.0,top
SW2,143.79125,-76.0,0.0,top
SW3,162.84125,-76.0,0.0,top
SW4,124.74125,-95.05,0.0,top
SW5,143.79125,-95.05,0.0,top
SW6,162.84125,-95.05,0.0,top
SW7,124.74125,-114.1,0.0,top
SW8,143.79125,-114.1,0.0,top
SW9,162.84125,-114.1,0.0,top
U1,143.79125,-75.21,0.0,bottom
